EmployerName,EmployerId,pre92
Arts University Bournemouth,12194,no
Bournemouth University,15721,no
De Montfort University,3966,no
Durham University,14890,yes
Imperial College London,6539,yes
Lancaster University,16588,yes
Middlesex University,8438,no
Newcastle University,14422,yes
ROEHAMPTON UNIVERSITY,10587,no
THE UNIVERSITY OF BUCKINGHAM,15516,yes
THE UNIVERSITY OF CHICHESTER,12618,no
THE UNIVERSITY OF MANCHESTER,12620,no
The University of Salford,14313,yes
UCL,14878,yes
University Of Bath,13167,yes
UNIVERSITY OF BIRMINGHAM,13169,yes
University of Huddersfield,16739,no
University of Hull,638,yes
UNIVERSITY OF KEELE,13182,yes
UNIVERSITY OF LEEDS,273,yes
University of Leicester,414,yes
UNIVERSITY OF READING,13188,yes
UNIVERSITY OF SHEFFIELD,16119,yes
University of Warwick,13195,yes
YORK ST JOHN UNIVERSITY,14028,no
AECC UNIVERSITY COLLEGE,18733,no
ARDEN UNIVERSITY LIMITED,19887,no
Bath Spa University,1865,no
Birmingham City University,2090,no
Bishop Grosseteste University,2097,no
BPP UNIVERSITY LIMITED,2289,no
BRUNEL UNIVERSITY LONDON,2512,yes
Buckinghamshire New University,14372,no
Canterbury Christ Church University,2766,no
Coventry University,15636,no
Cranfield University,15413,yes
Edge Hill University,4480,no
Falmouth University,4906,no
HARPER ADAMS UNIVERSITY,15961,no
Leeds Arts University,14402,no
Leeds Beckett University,7525,no
LEEDS TRINITY UNIVERSITY,7534,no
LIVERPOOL HOPE UNIVERSITY,7713,no
Liverpool John Moores University,225,no
London Metropolitan University,7812,no
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,7818,yes
LONDON SOUTH BANK UNIVERSITY,7820,no
LOUGHBOROUGH UNIVERSITY,7868,yes
Manchester Metropolitan University,8053,no
NEWMAN UNIVERSITY,8927,no
Norwich University of the Arts,15368,no
Nottingham Trent University,16089,no
Oxford Brookes University,15101,no
REGENT'S UNIVERSITY LONDON LIMITED,20573,no
Sheffield Hallam University,11111,no
Solent University,14678,no
Staffordshire University,14982,no
Teesside University,12080,no
The Open University,15774,yes
THE UNIVERSITY OF CUMBRIA,12619,no
THE UNIVERSITY OF LAW LIMITED,583,no
The University of Lincoln,15047,no
The University of Northampton,16231,no
THE UNIVERSITY OF WESTMINSTER,12623,no
University College Birmingham,13158,no
UNIVERSITY COLLEGE OF ESTATE MANAGEMENT,14932,no
University for the Creative Arts,14320,no
University of Bolton,15743,no
UNIVERSITY OF BRADFORD(THE),13170,yes
UNIVERSITY OF BRISTOL,13171,yes
University Of Cambridge,13172,yes
University of Central Lancashire,15073,no
University of Chester,15853,no
University Of Derby,620,no
UNIVERSITY OF EAST ANGLIA,13175,yes
UNIVERSITY OF ESSEX,14952,yes
University of Exeter,13177,yes
UNIVERSITY OF GLOUCESTERSHIRE,13179,no
University of Greenwich,13180,no
UNIVERSITY OF KENT,13183,yes
UNIVERSITY OF LIVERPOOL,13184,yes
University of London,13185,yes
University of Northumbria at Newcastle,15963,no
University of Nottingham,15824,yes
University of Oxford,14396,yes
University of Plymouth,13187,no
University of Southampton,163,yes
UNIVERSITY OF ST MARK & ST JOHN,13192,no
University of Sunderland,13194,no
University of Surrey,14870,yes
UNIVERSITY OF SUSSEX(THE),15746,yes
"University of the Arts, London",192,no
University of West London,16235,no
UNIVERSITY OF WINCHESTER,16121,no
University of Wolverhampton,13196,no
University of Worcester,15858,no
University of York,296,yes
Writtle University College,13938,no
